Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA15,9.3,Low Fat,0.016047301,Foods,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138
DRC01,5.92,Regular,0.019278216,Drinks,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228
FDN15,17.5,Low Fat,0.016760075,Foods,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27
FDX07,19.2,Regular,0.06613202877895127,Foods,182.095,OUT010,1998,Unknown,Tier 3,Grocery Store,732.38
NCD19,8.93,Non-Edible,0.06613202877895127,Non-Consumable,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052
FDP36,10.395,Regular,0.06613202877895127,Foods,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088
FDO10,13.65,Regular,0.012741088999999999,Foods,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528
FDP10,12.857645184136183,Low Fat,0.127469857,Foods,107.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.7636
FDH17,16.2,Regular,0.016687114,Foods,96.9726,OUT045,2002,Unknown,Tier 2,Supermarket Type1,1076.5986
FDU28,19.2,Regular,0.09444959,Foods,187.8214,OUT017,2007,Unknown,Tier 2,Supermarket Type1,4710.535
FDY07,11.8,Low Fat,0.06613202877895127,Foods,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266
FDA03,18.5,Regular,0.045463773,Foods,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153
FDX32,15.1,Regular,0.1000135,Foods,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646
FDS46,17.6,Regular,0.047257328,Foods,119.6782,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.2076
